sentence,label 
The inflation recorded in December 2014 reflects a reduction in core inflation,inflation
"In addition, the benign inflation outcomes appear vulnerable to set back as economic agents continue adjustment to key measures, ",inflation
volatility in the exchange rate,exchange rate
pressure on the exchange rate,exchange rate
The exchange rate continued to come under speculative pressure.,exchange rate
"inflation is expected to moderate marginally in 2023,",inflation
"On price development, the MPC observed that inflation, in most Advanced Economies, although trending downwards, remained significantly above their long-run objectives and is expected to remain elevated throughout 2023.",inflation
as headline inflation (year-on-year) declined marginally to 21.34 per centin December 2022,inflation
This reflects the exchange rate pressure accentuated by a combination of heightened demand and slow accretion to reserves.,exchange rate
 moderate exchange rate.,exchange rate
"Key developments that would likely sustain upward pressure on domestic prices, in the short to medium term, are the recent deregulation of petrol price and the transition to a unified and market-determined exchange rate.",exchange rate
to maintain the annual inflation rate broadly unchanged at 13.24 percent,inflation
the negative monthly inflation rate was largely due to lower prices of fruits and vegetables,inflation
the key drivers of headline inflation,inflation
This brought the annual inflation rates to 9.09 percent in November,inflation
Upside risks from imported inflation continue to be contained on the back of lower oil prices,inflation
"At this juncture, the MPC judges that the key CBE rates are currently appropriate given the balance of risks surrounding the inflation and GDP outlooks.",inflation
the average annual headline inflation recorded 18.7 percent during 2022 Q4,inflation
As the future path of inflation is a function of the cumulative tightening in the monetary policy stance to date,inflation
rather than prevailing inflation rates,inflation
the exchange rate fluctuations since March 2022,exchange rate
the impact of recent exchange rate fluctuations,exchange rate
the repercussions of the exchange rate developments,exchange rate
Inflation largely remained in single digit.,inflation
Inflation was mainly driven by increases in prices of domestic food and imported fuel.,inflation
Inflation in 2011 will largely depend on both domestic food prices and prices of oil and food on the global market,inflation
In its quest to ensure broad exchange rate stability,exchange rate
The exchange rate of the Liberian dollar vis-à-vis the United States dollar remained broadly stable at L$71.00/US$1.00 for buying and L$72.00/US$1.00 for selling in 2010. ,exchange rate
"Average annual headline inflation fell by 2.1 percentage points to 7.8 percent at end-2015, from 9.9 percent a year ago.",inflation
to maintaining this level of inflation,inflation
"The decline in inflation was largely a result of declining price of oil (petroleum) and food on the global market, the cessation of the EVD crisis which saw gradual improvement in domestic food production and the relative stability in the exchange rate",inflation
The single digit rate of depreciation in the exchange rate ,exchange rate
that helped reduced the exchange rate pressure in 2015,exchange rate
and the outlook for inflation.,inflation
The rate of inflation which stood at 18 percent in October 2009 declined,inflation
a further decline in the inflation rate to 14.8 percent,inflation
 exchange rate stability,exchange rate
"The nominal exchange rate of the cedi against the US dollar,",exchange rate
to support a stable exchange rate,exchange rate
Global inflation has remained subdued,inflation
", inflation pressures are expected to remain low",inflation
"Headline inflation, which peaked at 17 percent in November and December 2014, declined to 16.4 percent in January 2015. ",inflation
driven by exchange rate pass-through,exchange rate
the volatility in the exchange rate has continued.,exchange rate
 the appreciation of the exchange rate,exchange rate
 as inflation rose.,inflation
headline inflation started showing signs of easing ,inflation
"in Advanced Economies to contain inflation,",inflation
the sharp exchange rate depreciation led to non-oil imports compression of 8.4 percent to US$10.0 billion,exchange rate
relative exchange rate stability,exchange rate
the annual rate of inflation declined by 0.7 percent,inflation
there is also no immediate threat to the inflation outlook coming from exogenous factors,inflation
the annual rate of inflation slowed,inflation
annual inflation slowed from the peak of 6.1 percent in june 2014 to 4.5 percent in january 2015,inflation
high inflation,inflation
the rise in inflation continued to be predominantly driven by the transport inflation,inflation
